Şimdi,Tarih
3036.94,2017-10-05 00:00:00
3017.26,2017-09-05 00:00:00
2992.59,2017-08-05 00:00:00
2986.2,2017-05-05 00:00:00
2953.1,2017-04-05 00:00:00
2975.02,2017-03-05 00:00:00
2955.91,2017-02-05 00:00:00
2929.36,2017-04-28 00:00:00
2905.52,2017-04-27 00:00:00
2925.29,2017-04-26 00:00:00
2938.97,2017-04-25 00:00:00
2921.42,2017-04-24 00:00:00
2896,2017-04-21 00:00:00
2886.89,2017-04-20 00:00:00
2882.98,2017-04-19 00:00:00
2922.21,2017-04-18 00:00:00
2912.36,2017-04-17 00:00:00
2847.51,2017-04-14 00:00:00
2851.72,2017-04-13 00:00:00
2908.46,2017-12-04 00:00:00
2902.66,2017-11-04 00:00:00
2896.52,2017-10-04 00:00:00
2881.76,2017-07-04 00:00:00
2916.77,2017-06-04 00:00:00
2944.6,2017-05-04 00:00:00
2935.61,2017-04-04 00:00:00
2922.59,2017-03-04 00:00:00
2919.65,2017-03-31 00:00:00
2921.91,2017-03-30 00:00:00
2943.86,2017-03-29 00:00:00
2950.31,2017-03-28 00:00:00
2943.23,2017-03-27 00:00:00
2929.12,2017-03-24 00:00:00
2931.63,2017-03-23 00:00:00
2925.64,2017-03-22 00:00:00
2941.21,2017-03-21 00:00:00
2882.61,2017-03-20 00:00:00
2841.78,2017-03-17 00:00:00
2834.8,2017-03-16 00:00:00
2819.59,2017-03-15 00:00:00
2812.73,2017-03-14 00:00:00
2812.08,2017-03-13 00:00:00
2834.13,2017-10-03 00:00:00
2843.28,2017-09-03 00:00:00
2854.89,2017-08-03 00:00:00
2865.84,2017-07-03 00:00:00
2874.26,2017-06-03 00:00:00
2860.54,2017-03-03 00:00:00
2852.32,2017-02-03 00:00:00
2847.87,2017-01-03 00:00:00
2850.41,2017-02-28 00:00:00
2864.81,2017-02-27 00:00:00
2869.75,2017-02-24 00:00:00
2888.3,2017-02-23 00:00:00
2879.72,2017-02-22 00:00:00
2887.09,2017-02-21 00:00:00
2914.84,2017-02-20 00:00:00
2919.4,2017-02-17 00:00:00
2907.28,2017-02-16 00:00:00
2865.47,2017-02-15 00:00:00
2883.9,2017-02-14 00:00:00
2894.53,2017-02-13 00:00:00
2868.24,2017-10-02 00:00:00
2874.84,2017-09-02 00:00:00
2861.24,2017-08-02 00:00:00
2840.31,2017-07-02 00:00:00
2816.38,2017-06-02 00:00:00
2822.15,2017-03-02 00:00:00
2846.32,2017-02-02 00:00:00
2838.78,2017-01-02 00:00:00
2833.92,2017-01-31 00:00:00
2853.98,2017-01-30 00:00:00
2811.77,2017-01-27 00:00:00
2874.1,2017-01-26 00:00:00
2868.79,2017-01-25 00:00:00
2890.56,2017-01-24 00:00:00
